,date,open,close,high,low,volume,code
0,2009-10-15,16.11,17.08,17.51,15.53,1535864.77,601888
1,2009-10-16,16.66,15.41,16.79,15.37,970132.72,601888
2,2009-10-19,15.81,15.84,16.12,15.4,613624.8,601888
3,2009-10-20,15.65,17.42,17.42,15.62,547075.7,601888
4,2009-10-21,17.56,17.06,17.7,16.95,600277.24,601888
5,2009-10-22,16.89,17.26,17.45,16.65,400865.11,601888
6,2009-10-23,17.26,17.13,17.49,17.0,295269.47,601888
7,2009-10-26,16.9,16.48,17.04,16.1,340018.86,601888
8,2009-10-27,16.25,16.08,16.36,15.9,194752.98,601888
9,2009-10-28,15.98,16.34,16.44,15.96,185345.88,601888
10,2009-10-29,16.19,15.79,16.44,15.7,190467.12,601888
11,2009-10-30,15.98,15.74,16.2,15.6,162579.2,601888
12,2009-11-02,15.41,15.69,15.75,14.95,227771.54,601888
13,2009-11-03,15.61,16.01,16.25,15.48,202814.99,601888
14,2009-11-04,15.9,16.1,16.17,15.8,186315.0,601888
15,2009-11-05,16.1,17.12,17.5,15.92,309606.22,601888
16,2009-11-06,17.08,17.21,17.65,16.9,472633.14,601888
17,2009-11-09,18.93,18.93,18.93,18.58,445062.37,601888
18,2009-11-10,18.96,18.99,19.2,18.65,386814.03,601888
19,2009-11-11,18.35,18.28,18.6,18.08,256614.77,601888
20,2009-11-12,18.37,17.96,18.58,17.81,192589.62,601888
21,2009-11-13,17.95,19.04,19.2,17.8,268567.38,601888
22,2009-11-16,19.15,19.28,19.81,18.91,211902.89,601888
23,2009-11-17,19.18,19.97,20.5,19.0,219423.71,601888
24,2009-11-18,19.83,20.2,20.29,19.76,163999.13,601888
25,2009-11-19,20.14,21.06,21.18,20.01,158976.1,601888
26,2009-11-20,20.9,20.59,21.18,20.51,134946.22,601888
27,2009-11-23,20.4,21.0,21.1,20.06,107102.1,601888
28,2009-11-24,21.38,19.86,21.88,19.6,221333.11,601888
29,2009-11-25,19.65,20.92,21.1,19.65,199494.76,601888
30,2009-11-26,21.48,19.35,21.88,19.15,327089.58,601888
31,2009-11-27,19.1,18.51,19.19,18.47,158970.55,601888
32,2009-11-30,19.0,19.83,19.87,18.92,129818.92,601888
33,2009-12-01,19.79,20.94,21.11,19.61,169381.56,601888
34,2009-12-02,20.86,20.79,21.38,20.5,126830.27,601888
35,2009-12-03,20.7,21.4,21.5,20.51,119388.82,601888
36,2009-12-04,21.51,20.79,21.8,20.35,145863.04,601888
37,2009-12-07,20.84,20.86,21.15,20.4,104190.46,601888
38,2009-12-08,20.7,20.26,20.79,20.15,102056.8,601888
39,2009-12-09,20.0,19.92,20.22,19.75,57087.0,601888
40,2009-12-10,20.03,19.86,20.3,19.59,77169.12,601888
41,2009-12-11,19.96,19.88,20.35,19.73,57834.69,601888
42,2009-12-14,19.88,19.93,20.16,19.26,75437.17,601888
43,2009-12-15,19.71,20.01,20.55,19.71,77339.99,601888
44,2009-12-16,19.89,19.7,20.13,19.51,63380.09,601888
45,2009-12-17,19.56,18.62,19.66,18.5,93834.31,601888
46,2009-12-18,18.43,18.42,18.85,18.15,52049.91,601888
47,2009-12-21,18.7,18.63,18.87,18.49,54361.7,601888
48,2009-12-22,18.63,17.98,18.75,17.82,50990.18,601888
49,2009-12-23,18.08,18.56,18.62,18.0,56412.73,601888
50,2009-12-24,18.62,18.87,19.14,18.5,77905.77,601888
51,2009-12-25,18.79,18.6,18.9,18.4,69179.19,601888
52,2009-12-28,18.69,19.43,19.64,18.66,103981.49,601888
53,2009-12-29,19.68,21.03,21.37,19.38,260451.0,601888
54,2009-12-30,20.78,20.41,20.95,20.39,199553.42,601888
55,2009-12-31,20.41,20.94,21.2,20.4,126184.86,601888
56,2010-01-04,21.38,20.74,21.59,20.7,177659.0,601888
57,2010-01-05,20.98,20.78,21.38,20.58,170106.08,601888
58,2010-01-06,21.0,20.21,21.0,20.2,94464.62,601888
59,2010-01-07,20.34,20.85,21.5,20.18,227423.55,601888
60,2010-01-08,20.5,20.51,20.7,20.1,93023.08,601888
61,2010-01-11,20.59,20.14,20.59,19.95,92350.75,601888
62,2010-01-12,20.02,20.55,20.79,19.93,86987.29,601888
63,2010-01-13,20.01,20.08,20.69,19.98,100590.47,601888
64,2010-01-14,20.05,20.44,20.85,20.0,98365.76,601888
65,2010-01-15,20.36,19.87,20.36,19.8,247339.96,601888
66,2010-01-18,19.77,20.56,20.64,19.7,202483.8,601888
67,2010-01-19,20.58,20.72,20.98,20.25,173326.9,601888
68,2010-01-20,20.81,19.86,21.0,19.7,140762.05,601888
69,2010-01-21,19.87,19.54,19.97,19.48,102763.58,601888
70,2010-01-22,19.2,18.7,19.28,18.26,117518.51,601888
71,2010-01-25,18.6,18.55,18.97,18.51,49852.92,601888
72,2010-01-26,18.7,18.09,18.98,17.9,68409.15,601888
73,2010-01-27,18.09,18.19,18.65,17.9,70131.84,601888
74,2010-01-28,18.23,18.77,18.78,18.09,63804.39,601888
75,2010-01-29,18.57,18.76,19.06,18.4,66938.65,601888
76,2010-02-01,18.75,19.42,19.6,18.46,104111.29,601888
77,2010-02-02,19.49,18.78,19.5,18.65,85432.12,601888
78,2010-02-03,18.6,19.41,19.8,18.2,144617.35,601888
79,2010-02-04,19.27,19.91,20.4,19.0,219524.44,601888
80,2010-02-05,19.5,19.01,19.8,18.8,143448.94,601888
81,2010-02-08,19.01,18.87,19.22,18.5,49425.12,601888
82,2010-02-09,18.85,18.6,19.13,18.48,52687.17,601888
83,2010-02-10,18.7,18.86,18.87,18.52,41435.61,601888
84,2010-02-11,18.85,18.56,18.96,18.55,39523.63,601888
85,2010-02-12,18.59,18.66,18.84,18.56,38799.52,601888
86,2010-02-22,18.63,18.2,18.63,17.98,89183.22,601888
87,2010-02-23,18.19,18.45,18.48,18.0,54231.23,601888
88,2010-02-24,18.32,18.68,18.75,18.2,53938.68,601888
89,2010-02-25,18.83,18.8,18.86,18.59,88721.63,601888
90,2010-02-26,18.79,18.69,19.08,18.58,72888.56,601888
91,2010-03-01,18.69,18.92,18.95,18.59,121328.0,601888
92,2010-03-02,19.0,19.09,19.38,18.8,110845.99,601888
93,2010-03-03,19.1,19.17,19.3,18.93,88275.1,601888
94,2010-03-04,19.18,18.32,19.3,18.2,102925.12,601888
95,2010-03-05,18.4,18.53,18.62,18.25,64175.29,601888
96,2010-03-08,18.55,18.74,18.83,18.35,60517.97,601888
97,2010-03-09,18.65,18.99,19.1,18.5,63927.68,601888
98,2010-03-10,18.99,18.78,19.08,18.67,41285.3,601888
99,2010-03-11,18.76,18.35,18.89,18.23,48064.65,601888
100,2010-03-12,18.4,18.0,18.47,17.95,57531.49,601888
101,2010-03-15,17.95,17.56,17.99,17.45,68577.1,601888
102,2010-03-16,17.56,17.73,17.79,17.51,32676.88,601888
103,2010-03-17,17.75,18.09,18.16,17.75,39478.71,601888
104,2010-03-18,18.1,18.02,18.19,18.0,33598.38,601888
105,2010-03-19,18.04,18.13,18.18,17.7,49662.91,601888
106,2010-03-22,18.12,18.24,18.3,18.0,36963.1,601888
107,2010-03-23,18.24,17.89,18.24,17.86,37829.02,601888
108,2010-03-24,17.9,17.84,18.09,17.8,35001.9,601888
109,2010-03-25,17.81,17.85,18.05,17.67,44157.26,601888
110,2010-03-26,17.85,18.4,18.64,17.72,86311.47,601888
111,2010-03-29,18.4,18.47,18.68,18.23,69783.15,601888
112,2010-03-30,18.39,18.56,18.66,18.3,60597.92,601888
113,2010-03-31,18.61,18.68,18.85,18.47,60716.33,601888
114,2010-04-01,18.67,18.99,19.08,18.47,95359.81,601888
115,2010-04-02,18.95,18.95,18.99,18.7,76996.88,601888
116,2010-04-06,19.06,18.89,19.11,18.75,58820.98,601888
117,2010-04-07,18.81,18.89,19.05,18.61,51594.47,601888
118,2010-04-08,18.8,19.03,19.04,18.71,60526.34,601888
119,2010-04-09,19.1,19.35,19.47,19.05,87370.39,601888
120,2010-04-12,19.3,19.61,19.8,19.18,100256.13,601888
121,2010-04-13,19.58,19.17,19.78,18.63,103419.25,601888
122,2010-04-14,19.17,19.2,19.45,19.01,90259.27,601888
123,2010-04-15,19.2,18.68,19.22,18.58,72057.99,601888
124,2010-04-16,18.75,18.8,18.99,18.56,45988.65,601888
125,2010-04-19,18.76,17.98,18.89,17.95,69319.06,601888
126,2010-04-20,18.15,18.24,18.25,17.8,45961.03,601888
127,2010-04-21,18.26,18.73,18.74,18.1,53772.78,601888
128,2010-04-22,18.59,19.12,19.36,18.44,100462.94,601888
129,2010-04-23,19.12,19.15,19.2,18.79,69929.89,601888
130,2010-04-26,19.25,19.17,19.54,18.93,73225.92,601888
131,2010-04-27,19.17,18.83,19.51,18.23,115504.02,601888
132,2010-04-28,18.6,19.83,20.15,18.34,196294.03,601888
133,2010-04-29,19.68,19.02,19.93,18.92,101596.8,601888
134,2010-04-30,18.99,19.38,19.77,18.88,149109.3,601888
135,2010-05-04,19.08,19.86,19.88,19.0,123142.56,601888
136,2010-05-05,19.6,20.23,20.35,19.51,186989.72,601888
137,2010-05-06,20.0,19.84,20.7,19.73,219328.18,601888
138,2010-05-07,19.55,20.96,21.16,19.55,285621.44,601888
139,2010-05-10,21.0,20.28,21.17,20.05,180520.31,601888
140,2010-05-11,20.6,19.41,20.69,19.36,155582.64,601888
141,2010-05-12,19.0,17.47,19.85,17.47,176560.32,601888
142,2010-05-13,17.31,18.22,18.45,17.28,153925.34,601888
143,2010-05-14,18.0,18.23,18.73,17.88,76388.01,601888
144,2010-05-17,17.83,17.9,18.18,17.7,61924.4,601888
145,2010-05-18,17.85,17.67,18.14,16.5,80396.06,601888
146,2010-05-19,17.47,17.55,17.88,17.18,42626.41,601888
147,2010-05-20,17.39,16.79,17.65,16.72,98764.27,601888
148,2010-05-21,16.25,17.09,17.1,16.21,76965.84,601888
149,2010-05-24,17.18,17.74,17.85,17.02,66426.45,601888
150,2010-05-25,17.61,17.57,17.7,17.35,49250.06,601888
151,2010-05-26,17.5,17.63,17.79,17.44,36085.51,601888
152,2010-05-27,17.61,17.91,17.95,17.35,54157.8,601888
153,2010-05-28,18.05,18.29,18.5,17.96,80266.59,601888
154,2010-05-31,18.28,17.39,18.28,17.38,42104.39,601888
155,2010-06-01,17.1,17.68,17.95,17.1,56107.41,601888
156,2010-06-02,17.55,18.09,18.1,17.49,46803.18,601888
157,2010-06-03,18.2,18.0,18.34,17.86,57838.46,601888
