开奖日期,期号,中奖号码,销售额(元),中奖注数一等奖,中奖注数二等奖,详细
2020-06-28,2020056,02  05  08  12  26  31  14,380233782,17,186,
2020-06-25,2020055,01  05  07  23  28  30  12,327140694,14,198,
2020-06-23,2020054,03  10  19  25  26  31  02,338817016,11,210,
2020-06-21,2020053,02  14  15  16  32  33  01,381666534,19,360,
2020-06-18,2020052,02  08  13  29  32  33  15,352815504,2,53,
2020-06-16,2020051,03  06  08  11  19  28  08,342968302,23,268,
2020-06-14,2020050,04  09  17  20  32  33  15,379409292,5,90,
2020-06-11,2020049,01  07  09  12  18  22  04,355402476,7,140,
2020-06-09,2020048,12  14  18  23  30  32  02,351604616,6,75,
2020-06-07,2020047,04  10  17  19  28  32  01,382084220,10,140,
2020-06-04,2020046,13  19  25  26  27  32  08,350122868,7,87,
2020-06-02,2020045,02  03  15  21  22  33  16,348295556,16,115,
2020-05-31,2020044,07  08  16  17  19  24  07,379328476,10,107,
2020-05-28,2020043,01  11  24  25  27  30  07,360394276,5,64,
2020-05-26,2020042,02  06  07  11  14  31  03,345472844,5,98,
2020-05-24,2020041,06  07  16  22  24  25  13,372422582,2,102,
2020-05-21,2020040,01  06  12  16  19  21  04,341533118,5,92,
2020-05-19,2020039,02  09  10  11  16  29  02,341609556,9,166,
2020-05-12,2020036,07  09  16  22  24  32  06,346455736,3,104,
2020-05-10,2020035,10  14  24  25  28  33  11,371811232,4,97,
2020-05-07,2020034,02  08  15  16  26  32  03,340793680,11,182,
2020-05-05,2020033,07  10  12  21  31  32  01,320555362,4,97,
2020-05-03,2020032,03  11  13  14  15  26  13,338904002,11,135,
2020-04-30,2020031,02  05  09  15  16  27  09,323903392,14,310,
2020-04-28,2020030,17  18  21  29  30  32  03,327786632,1,74,
2020-04-26,2020029,01  12  18  20  30  32  05,364268814,7,63,
2020-04-23,2020028,05  06  15  18  26  32  08,323795596,7,153,
2020-04-21,2020027,12  13  14  24  25  28  06,324196702,3,112,
2020-04-19,2020026,01  04  09  18  19  31  06,349633986,3,106,
2020-04-16,2020025,01  09  10  15  20  29  02,321611812,4,156,
2020-04-14,2020024,10  13  27  28  29  31  08,317568426,8,94,
2020-04-12,2020023,04  05  20  21  30  33  08,340318270,6,107,
2020-04-09,2020022,02  10  20  22  25  30  02,311416184,8,97,
2020-04-07,2020021,02  06  14  16  27  31  07,296655800,5,116,
2020-04-05,2020020,01  06  09  13  15  22  14,310764432,4,91,
2020-04-02,2020019,15  19  27  28  30  33  03,293920314,7,60,
2020-03-26,2020016,05  06  08  17  24  27  07,260860736,12,89,
2020-03-24,2020015,08  09  22  24  30  33  01,255551054,1,60,
2020-03-22,2020014,02  07  08  10  12  16  07,261933168,5,66,
2020-03-19,2020013,02  08  10  20  21  30  14,215545590,4,184,
2020-03-17,2020012,04  13  14  23  26  31  09,198501652,3,112,
2020-03-15,2020011,04  05  07  17  18  29  01,176331724,8,67,
2020-03-12,2020010,11  14  22  27  31  32  09,142522854,2,42,
2020-01-21,2020009,03  06  08  14  19  26  12,405733380,16  (京 辽 沪 苏..),253,
2020-01-19,2020008,01  04  06  10  11  28  16,395048088,17  (冀 晋 辽 苏..),262,
2020-01-16,2020007,05  12  17  20  25  31  10,358035962,38  (津 冀 吉 沪..),269,
2020-01-14,2020006,03  04  05  10  16  32  09,361697316,20  (浙 豫 粤 桂..),363,
2020-01-12,2020005,11  16  17  22  26  32  04,400642476,8  (冀 皖 赣 鄂..),224,
2020-01-09,2020004,02  15  17  27  32  33  03,370826158,7  (晋 浙 鲁 粤..),189,
2020-01-07,2020003,09  17  26  29  30  32  03,368960938,16  (苏 浙 鄂 湘..),134,
2020-01-05,2020002,04  09  14  15  16  29  11,410784878,16  (京 津 冀 晋..),194,
2020-01-02,2020001,02  15  23  26  29  30  02,388311860,4  (豫 鄂 川),113,
2019-12-31,2019151,02  06  09  18  24  26  14,405999712,8  (辽 吉 闽 湘..),121,
2019-12-29,2019150,02  09  14  22  27  29  02,424037140,9  (皖 鲁 粤 深圳..),158,
2019-12-22,2019147,01  09  12  14  23  27  12,428843148,10  (冀 蒙 深圳 陕..),120,
2019-12-19,2019146,01  04  10  12  30  32  14,400822952,4  (冀 浙 陕),82,
2019-12-17,2019145,01  08  13  17  18  19  16,404721396,15  (京 辽 黑 沪..),145,
2019-12-15,2019144,02  12  15  19  27  30  03,448943976,13  (津 辽 苏 浙..),276,
2019-12-12,2019143,05  13  15  16  26  32  09,421054466,11  (蒙 沪 赣 豫..),471,
2019-12-10,2019142,08  14  24  27  29  33  09,429455474,14  (冀 苏 浙 闽..),72,
2019-12-08,2019141,10  13  14  15  17  33  14,466103236,2  (鲁),101,
2019-12-05,2019140,02  04  09  11  14  22  05,421874374,25  (京 冀 晋 辽..),187,
2019-12-03,2019139,08  14  20  23  30  33  11,420684332,4  (辽 浙 皖 渝),87,
2019-12-01,2019138,02  06  12  30  31  32  11,455574142,15  (京 冀 晋 蒙..),221,
2019-11-28,2019137,07  10  13  19  23  31  06,414318454,27  (京 津 蒙 辽..),230,
2019-11-26,2019136,12  14  15  17  29  33  12,411048748,7  (闽 鲁 湘 粤..),50,
2019-11-24,2019135,03  06  10  11  27  33  03,448749008,4  (苏 闽 豫),145,
2019-11-21,2019134,01  04  06  22  29  30  03,424644500,7  (津 辽 黑 闽..),99,
2019-11-19,2019133,03  07  16  21  24  31  07,412973230,10  (辽 沪 苏 鲁..),163,
2019-11-17,2019132,04  06  11  14  19  33  07,443878462,7  (京 浙 赣 粤..),141,
2019-11-14,2019131,09  17  19  20  24  31  04,413548024,12  (浙 闽 赣 豫..),195,
2019-11-12,2019130,01  07  09  11  24  32  16,418172282,15  (冀 蒙 赣 豫..),151,
2019-11-05,2019127,02  06  07  12  17  24  10,338393664,15  (冀 苏 赣 鲁..),227,
2019-11-03,2019126,02  14  17  29  32  33  16,369776508,8  (冀 黑 沪 鲁..),81,
2019-10-31,2019125,02  11  12  26  27  29  03,342491160,8  (冀 浙 粤 川),253,
2019-10-29,2019124,04  09  30  31  32  33  01,337939626,14  (京 津 冀 闽..),153,
2019-10-27,2019123,02  06  08  17  28  30  06,360609038,19  (晋 闽 赣 豫..),366,
2019-10-24,2019122,04  10  15  19  21  23  02,334989390,4  (冀 浙 鲁 鄂),117,
2019-10-22,2019121,02  06  15  21  30  31  02,334748934,15  (冀 浙 皖 鲁..),138,
2019-10-20,2019120,10  12  27  31  32  33  03,361613906,5  (浙 闽 鲁 渝..),85,
2019-10-17,2019119,04  20  22  24  26  33  07,332545590,9  (苏 皖 川 甘),73,
2019-10-15,2019118,12  14  15  25  28  31  04,329400746,6  (津 晋 黑 沪..),142,
2019-10-13,2019117,03  05  11  28  32  33  01,358734764,5  (京 闽 粤 川..),135,
2019-10-10,2019116,01  08  09  13  16  33  01,336502106,7  (辽 苏 豫 深圳..),146,
2019-10-08,2019115,04  10  11  14  15  29  05,354033692,8  (京 冀 辽 沪..),137,
2019-09-29,2019114,02  04  09  11  12  30  01,372847052,4  (苏 湘 滇),180,
2019-09-26,2019113,01  05  19  21  25  33  15,339648916,5  (浙 豫 粤 川),118,
2019-09-24,2019112,03  12  14  17  23  27  01,335430712,6  (吉 苏 鲁 粤..),173,
2019-09-22,2019111,07  18  20  22  24  33  01,371095278,6  (京 粤),82,
2019-09-19,2019110,01  18  22  26  27  28  08,345297696,8  (京 浙 皖 鲁..),89,
2019-09-12,2019107,02  06  08  23  27  32  02,326852234,2  (黑 桂),54,
2019-09-10,2019106,02  14  22  27  30  33  14,330410652,3  (京 皖 鲁),65,
2019-09-08,2019105,02  13  15  17  26  33  01,365092568,6  (晋 辽),85,
2019-09-05,2019104,01  05  16  17  18  24  10,336503558,7  (蒙 浙 闽 鲁..),120,
2019-09-03,2019103,04  12  14  21  27  29  12,334444954,2  (黑 滇),101,
2019-09-01,2019102,03  08  12  16  20  32  12,365310214,18  (冀 苏 赣 湘..),198,
2019-08-29,2019101,01  04  09  21  31  33  05,336008906,4  (晋 辽 粤),77,
2019-08-27,2019100,01  04  12  13  30  32  08,334319180,2  (浙 鄂),60,
2019-08-25,2019099,07  14  22  23  27  30  08,355328056,26  (吉 黑 皖 赣..),185,
2019-08-22,2019098,03  11  12  14  17  26  09,334187522,4  (辽 黑 浙 湘),136,
2019-08-20,2019097,03  05  18  24  25  31  09,328319954,5  (辽 粤 陕 新),98,
2019-08-18,2019096,05  07  12  18  27  32  11,355103324,48  (冀 晋 辽 赣..),310,
2019-08-15,2019095,02  05  14  19  21  28  01,327102912,3  (辽 粤),95,
2019-08-13,2019094,05  10  12  18  19  27  06,318739184,8  (苏 浙 赣 粤..),301,
2019-08-11,2019093,05  07  08  09  20  22  02,343851622,27  (京 冀 蒙 辽..),629,
2019-08-08,2019092,09  17  27  28  32  33  08,325113036,6  (京 苏 浙 湘..),67,
2019-08-06,2019091,07  10  21  24  29  32  11,321773688,2  (深圳 渝),94,
2019-08-04,2019090,02  03  06  08  14  22  04,355808718,2  (辽 粤),93,
2019-07-28,2019087,04  05  07  09  21  30  04,348495228,5  (沪 皖),99,
2019-07-25,2019086,16  22  24  26  28  31  06,318423888,11  (津 苏 闽 赣..),120,
2019-07-23,2019085,01  04  14  18  24  29  04,322387974,12  (冀 苏 鲁 鄂..),61,
2019-07-21,2019084,04  08  14  18  20  27  03,356282880,15  (蒙 浙 皖 鲁..),300,
2019-07-18,2019083,06  15  17  26  28  31  03,329029762,10  (冀 苏 浙 皖..),118,
2019-07-16,2019082,07  16  19  22  24  28  02,328221990,5  (冀 辽 皖 粤),91,
2019-07-14,2019081,05  24  27  29  31  32  10,359862504,5  (苏 鲁 粤 渝),58,
2019-07-11,2019080,03  06  08  20  24  32  07,333601616,7  (冀 辽 浙 皖..),80,
2019-07-09,2019079,01  03  06  09  19  31  16,324952306,15  (沪 苏 闽 赣..),156,
2019-07-07,2019078,01  17  27  29  31  33  12,358699764,14  (京 黑 苏 浙..),199,
2019-07-04,2019077,09  11  13  18  21  22  15,331156004,1  (浙),118,
2019-07-02,2019076,12  15  19  20  29  32  14,327737064,4  (深圳 川),84,
2019-06-30,2019075,05  08  20  22  31  33  03,356452390,2  (闽 粤),69,
2019-06-27,2019074,12  21  27  29  31  33  04,339313032,4  (冀 沪 皖 陕),51,
2019-06-25,2019073,01  02  06  12  16  18  08,334373706,17  (冀 晋 蒙 苏..),146,
2019-06-23,2019072,02  09  13  15  22  30  15,366310328,10  (冀 浙 赣 鲁..),155,
2019-06-20,2019071,01  08  19  24  29  30  04,338921834,22  (晋 沪 浙 豫..),371,
2019-06-18,2019070,06  15  18  19  24  32  09,335727814,3  (浙 渝 川),103,
2019-06-11,2019067,04  06  08  11  30  33  11,330381956,5  (京 辽 苏 湘),110,
2019-06-09,2019066,01  14  17  20  22  32  04,354505682,6  (蒙 鲁 豫 桂..),86,
2019-06-06,2019065,06  09  11  15  20  26  10,327400036,10  (京 冀 辽 苏..),317,
2019-06-04,2019064,12  20  24  25  30  33  12,331639006,4  (沪 浙 桂 贵),92,
2019-06-02,2019063,01  14  19  22  29  31  16,361222550,5  (黑 豫 鄂 琼),91,
2019-05-30,2019062,07  13  16  23  26  30  01,339468976,7  (沪 苏 浙 鄂..),161,
2019-05-28,2019061,03  17  19  24  27  31  12,335296666,6  (京 皖 渝 川..),80,
2019-05-26,2019060,03  04  14  20  23  27  01,367103342,2  (豫 粤),118,
2019-05-23,2019059,04  05  07  09  16  18  06,345567246,2  (鄂 桂),125,
2019-05-21,2019058,07  08  12  21  23  27  12,339299672,20  (冀 黑 沪 苏..),127,
2019-05-19,2019057,04  05  06  08  13  18  16,372560948,7  (黑 沪 湘 深圳..),127,
2019-05-16,2019056,13  14  17  19  21  29  01,351267630,1  (赣),78,
2019-05-14,2019055,01  06  11  15  19  31  10,350070872,2  (豫 粤),61,
2019-05-12,2019054,07  10  11  15  24  26  11,376075414,8  (京 吉 鲁 鄂..),132,
2019-05-09,2019053,04  16  22  25  29  31  08,345533966,12  (蒙 沪 苏 鄂..),109,
2019-05-07,2019052,03  06  09  13  16  19  16,342251970,153  (京 津 冀 晋..),2295,
2019-05-05,2019051,08  09  10  13  15  28  09,371316762,13  (晋 蒙 吉 黑..),120,
2019-05-02,2019050,04  06  10  11  21  23  02,311858860,13  (辽 吉 沪 皖..),100,
2019-04-25,2019047,03  11  18  25  30  33  14,349665886,1  (粤),388,
2019-04-23,2019046,02  12  16  22  25  32  06,349236650,17  (津 黑 沪 浙..),132,
2019-04-21,2019045,01  06  17  19  27  31  14,380577960,7  (辽 苏 粤 深圳..),83,
2019-04-18,2019044,06  14  16  17  23  29  07,350579948,12  (津 浙 皖 湘..),188,
2019-04-16,2019043,01  06  12  13  24  32  13,345296562,2  (鲁 鄂),99,
2019-04-14,2019042,15  17  19  22  25  26  04,376134240,4  (冀 晋 闽 鲁),132,
2019-04-11,2019041,02  09  13  23  24  26  16,347145834,2  (赣 豫),103,
2019-04-09,2019040,05  06  09  18  23  31  11,335974062,8  (京 黑 赣 豫..),159,
2019-04-07,2019039,06  07  11  14  27  32  08,363128750,11  (苏 浙 桂 陕),136,
2019-04-04,2019038,09  12  21  27  29  30  05,335328036,10  (沪 浙 鄂 渝..),101,
2019-04-02,2019037,01  07  12  14  18  25  10,344923376,12  (苏 浙 鲁 豫..),213,
2019-03-31,2019036,02  10  13  16  23  32  08,383547756,21  (津 冀 辽 吉..),85,
